session_id,question_id,page,question_label,needs_dashboard,response_value,dashboard_view_at_answer,viz_tab,scatter_x,scatter_y,bar_var,varietals_shown,n_dashboard_changes_this_question,n_chat_exchanges_this_question,typed_messages,llm_responses,copy_pasted_question,page_arrival_time,answered_at,page_departure_time,total_time_on_question_secs,time_to_answer_secs,last_interaction_before_answer_ts,thinking_time_secs,used_dashboard_this_question,used_chat_this_question,n_plot_images_shown
6860fa08bd8630e0597a1a92f761fd01,q_familiarity,familiarity,"Before today, how familiar were you with coffee growing or coffee sourcing?",FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:26:54Z,NA,2026-09-08T04:27:05Z,11,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,q_familiarity,familiarity,"Before today, how familiar were you with coffee growing or coffee sourcing?",FALSE,none,Scatter | varietals: All Varietals | x: farm_size_ha | y: tree_age_years,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals,2,0,,,NA,2026-09-08T13:57:07Z,2026-09-08T13:57:10Z,2026-09-08T13:57:16Z,9,3,2026-09-08T13:56:55Z,14.903120994567871,TRUE,FALSE,0
cdec2216e9b7790b61ac01940649436b,q_familiarity,familiarity,"Before today, how familiar were you with coffee growing or coffee sourcing?",FALSE,none,Scatter | varietals: All Varietals | x: farm_size_ha | y: tree_age_years,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals,0,1,what is this plot?,"This is a scatter plot showing the relationship between farm size (in hectares, on the x-axis) and average tree age (in years, on the y-axis) across all varietals combined. There's a clear, strong positive association — larger farms tend to have older trees — with the points forming a fairly tight diagonal band. The spread widens slightly at larger farm sizes, and there are a handful of outliers at the upper end (farms around 23–25 ha with trees aged 24+ years). Farm sizes range roughly from 4 to 25 ha, and tree ages from about 7 to 25 years.",FALSE,2026-09-08T13:44:50Z,2026-09-08T13:44:55Z,2026-09-08T13:45:17Z,27,5,2026-09-08T13:42:02Z,172.69596004486084,FALSE,TRUE,1
d8c0242ae6fe380933f76e451cffdf06,q_familiarity,familiarity,"Before today, how familiar were you with coffee growing or coffee sourcing?",FALSE,slight,Scatter | varietals: All Varietals | x: farm_size_ha | y: tree_age_years,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals,0,0,,,NA,2026-09-08T04:32:29Z,2026-09-08T04:32:30Z,2026-09-08T04:32:31Z,2,1,2026-09-08T04:32:19Z,10.502027034759521,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,practice_size_age,practice,"Across all farms, how are farm size and tree age related?",TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:05Z,NA,2026-09-08T04:27:10Z,5,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,practice_size_age,practice,"Across all farms, how are farm size and tree age related?",TRUE,positive,Scatter | varietals: All Varietals | x: altitude_m | y: farm_size_ha,Scatter,altitude_m,farm_size_ha,price_per_kg_usd,All Varietals,2,0,,,NA,2026-09-08T13:57:16Z,2026-09-08T13:57:18Z,2026-09-08T13:57:22Z,6,2,2026-09-08T13:57:15Z,2.965725898742676,TRUE,FALSE,0
cdec2216e9b7790b61ac01940649436b,practice_size_age,practice,"Across all farms, how are farm size and tree age related?",TRUE,positive,Scatter | varietals: All Varietals | x: farm_size_ha | y: tree_age_years,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals,2,0,,,NA,2026-09-08T13:45:17Z,2026-09-08T13:45:28Z,2026-09-08T13:45:28Z,11,11,2026-09-08T13:45:24Z,3.427121162414551,TRUE,FALSE,0
d8c0242ae6fe380933f76e451cffdf06,practice_size_age,practice,"Across all farms, how are farm size and tree age related?",TRUE,positive,Scatter | varietals: All Varietals | x: farm_size_ha | y: tree_age_years,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals,0,0,,,NA,2026-09-08T04:32:31Z,2026-09-08T04:32:32Z,2026-09-08T04:32:33Z,2,1,2026-09-08T04:32:19Z,12.502027034759521,FALSE,FALSE,0
6860fa08bd8630e0597a1a92f761fd01,q1_altitude,q1,"A cooperative is buying land to plant a new coffee plot, and wants the coffee to sell for the highest possible price per kilogram. Based on the data, should they buy land at a higher or a lower altitude?",TRUE,NA,NA,NA,NA,NA,NA,NA,0,0,,,NA,2026-09-08T04:27:10Z,NA,2026-09-08T04:27:13Z,3,NA,NA,NA,FALSE,FALSE,0
c2d59b81e56facd637c2f6d823da85ab,q1_altitude,q1,"A cooperative is buying land to plant a new coffee plot, and wants the coffee to sell for the highest possible price per kilogram. Based on the data, should they buy land at a higher or a lower altitude?",TRUE,lower,Scatter | varietals: All Varietals | x: farm_size_ha | y: price_per_kg_usd,Scatter,farm_size_ha,price_per_kg_usd,price_per_kg_usd,All Varietals,6,0,,,NA,2026-09-08T13:57:22Z,2026-09-08T13:57:24Z,2026-09-08T13:57:32Z,10,2,2026-09-08T13:57:21Z,2.493710994720459,TRUE,FALSE,0
