varietal,growing_region,certification,farm_size_ha,tree_age_years,altitude_m,yield_kg_per_ha,price_per_kg_usd
Typica,South,Conventional,13.2,15.4,1369,1303,10.56
Gesha,South,Organic,8.3,10,1709,1354,10.03
Bourbon,Central,Organic,10.8,12.5,1218,1601,2.95
Typica,Central,Organic,9.1,13.5,1540,1693,5.86
Gesha,North,Conventional,12.4,14.5,1519,998,14.25
Gesha,South,Organic,14.4,14.9,1537,924,15.54
Gesha,South,Organic,17.7,20.2,1559,805,16.6
Typica,South,Conventional,13.8,16.7,1355,1225,11.04
Gesha,Central,Conventional,12.5,13.8,1544,964,13.63
Bourbon,Central,Organic,14.5,18.5,1157,1526,5.61
Typica,South,Conventional,8,9.6,1349,1668,7.3
Bourbon,Central,Organic,17.1,16.5,1192,1359,6.82
Gesha,North,Conventional,12.8,15.5,1668,1084,12.64
Typica,Central,Organic,14.6,15.5,1249,1162,12.3
Typica,Central,Conventional,7.1,9.6,1244,1421,8.64
Gesha,Central,Organic,15,14.3,1497,906,16.01
Typica,North,Conventional,11.4,12,1432,1466,8.31
Typica,North,Conventional,11.8,14.9,1405,1356,9.54
Typica,South,Organic,10.8,13.5,1385,1316,8.42
Bourbon,South,Conventional,15.6,15.8,1148,1393,6.67
Typica,North,Organic,12.2,14.8,1369,1426,9.65
Typica,Central,Conventional,8.3,10.5,1385,1457,7.76
Typica,South,Conventional,14.2,14,1266,1002,12.32
Gesha,South,Conventional,13.2,16.2,1614,1121,13.47
Typica,South,Conventional,8.6,9.2,1512,1662,5.96
Gesha,Central,Conventional,14.3,16.7,1619,971,13.9
Typica,North,Conventional,13.3,13.5,1371,1315,10.19
Bourbon,South,Organic,13.4,14.2,1001,1343,7.02
Bourbon,North,Conventional,10,13.3,1137,1626,3.6
Gesha,South,Conventional,13.9,15.7,1448,813,15.7
Bourbon,South,Conventional,10.3,13.7,1137,1623,4.28
Gesha,Central,Conventional,9.6,12.4,1658,1369,10.58
Bourbon,North,Conventional,8,10,1190,1748,2.19
Bourbon,South,Conventional,12.6,14,1175,1339,5.37
Bourbon,Central,Organic,14.6,17.1,1206,1411,5.4
Gesha,Central,Conventional,15.9,17.9,1591,831,15.33
Bourbon,South,Organic,10,12.2,1094,1615,4.02
Typica,South,Conventional,15.6,17.9,1367,1219,11.11
Typica,North,Organic,12.9,15.9,1367,1163,10.35
Bourbon,South,Conventional,9.4,13.8,1108,1562,3.93
Gesha,South,Conventional,16.2,20,1618,958,14.82
Gesha,South,Organic,12.7,15.6,1557,1033,13.65
Bourbon,North,Organic,9.3,9.9,1189,1698,2.93
Bourbon,North,Conventional,14.9,16.1,1065,1178,7.51
Typica,South,Organic,11.8,16.7,1349,1364,9.93
Typica,North,Organic,12.6,14.8,1418,1336,9.95
Bourbon,South,Organic,12,11.5,1153,1474,4.71
Bourbon,North,Organic,13.2,15.2,1033,1329,7.16
Typica,South,Conventional,11.9,13.3,1325,1237,10.41
Gesha,North,Organic,14.5,16.8,1608,944,14.56
Gesha,Central,Conventional,11,12.6,1681,1324,11.23
Bourbon,North,Organic,10.4,13.1,1118,1606,3.71
Typica,North,Organic,14.3,15.7,1284,1034,12.41
Gesha,South,Organic,10.8,13.8,1622,1137,12.27
Typica,Central,Organic,21.2,19.3,1226,731,16.52
Gesha,Central,Organic,15.4,17.1,1556,811,15.19
Bourbon,North,Conventional,12,12.1,1063,1416,5.85
Gesha,South,Conventional,15.3,19.1,1589,944,15.25
Bourbon,South,Conventional,14,14.7,1045,1357,6.76
Typica,South,Conventional,16.7,19.5,1455,1140,11.5
Bourbon,North,Organic,10.2,10.3,1066,1533,4.87
Gesha,Central,Conventional,11.5,15.9,1664,1107,11.76
Typica,South,Conventional,12.8,15.1,1388,1173,10.23
Gesha,North,Organic,11.3,14.8,1652,1278,11.79
Typica,South,Organic,10.8,14.1,1343,1312,9.75
Gesha,Central,Conventional,18.4,16.7,1676,798,16.06
Bourbon,South,Conventional,7,8.1,1098,1793,2.56
Bourbon,South,Conventional,5.7,6.9,1014,1587,2.76
Bourbon,North,Organic,9.6,12.5,1160,1615,3.35
Bourbon,South,Conventional,19.7,21.6,1072,930,10.1
Gesha,North,Conventional,14.9,15.9,1564,916,15.46
