dragon_type,region,sex,claw_length_cm,claw_thickness_cm,wingspan_m,weight_kg,flying_speed_kmh
Forest Dragon,Coastal Cliffs,Male,22.1,6.1,4.07,273.5,158.2
Mountain Dragon,Ancient Forest,Female,25.5,5.4,3.93,230.5,133.6
Forest Dragon,Northern Peaks,Female,17.2,5.3,4.04,205.2,155.8
Sea Dragon,Coastal Cliffs,Male,28.5,5,5.05,342.9,131.8
Mountain Dragon,Ancient Forest,Male,25.5,6.2,4.23,217.4,135.1
Forest Dragon,Northern Peaks,Female,21,5.7,4.2,211.3,166.2
Forest Dragon,Ancient Forest,Male,20.2,5.9,4.05,251.5,155.2
Sea Dragon,Coastal Cliffs,Female,26.4,4.4,4.34,287.5,134.9
Forest Dragon,Northern Peaks,Female,20.2,5.7,4.04,239.9,161.3
Forest Dragon,Northern Peaks,Male,24.4,5.5,4.33,299.1,157.9
Forest Dragon,Ancient Forest,Female,20.1,5.9,4.24,224.1,164.2
Forest Dragon,Coastal Cliffs,Male,23.9,6,4.35,254.7,163.6
Sea Dragon,Coastal Cliffs,Female,25.9,4.4,4.57,294.3,152.2
Mountain Dragon,Ancient Forest,Female,24.2,6,4.15,223.8,135
Sea Dragon,Coastal Cliffs,Female,25.4,4.1,4.6,279.7,135
Forest Dragon,Coastal Cliffs,Male,22.7,6.4,3.97,259.7,160.1
Forest Dragon,Ancient Forest,Female,20.3,5.6,4.09,215.7,155.6
Forest Dragon,Coastal Cliffs,Female,18.7,5.4,4.2,214.7,163.1
Sea Dragon,Coastal Cliffs,Female,24,4.2,4.8,307.4,130.6
Forest Dragon,Northern Peaks,Male,20.8,5.9,4.06,247.1,169.5
Sea Dragon,Coastal Cliffs,Male,23.8,4.8,4.65,335.1,134.3
Sea Dragon,Coastal Cliffs,Female,24.7,4.5,4.36,325.1,133.4
Sea Dragon,Coastal Cliffs,Male,26.5,4.8,5.01,368.9,144.5
Forest Dragon,Northern Peaks,Male,23.7,6.5,4.15,269.2,152.7
Mountain Dragon,Ancient Forest,Female,24.6,6.1,4.17,226.2,142.6
Forest Dragon,Coastal Cliffs,Female,20.8,5.5,3.96,206.2,166
Sea Dragon,Coastal Cliffs,Female,22.7,4.2,4.52,262.8,134.2
Mountain Dragon,Ancient Forest,Female,31.8,5.9,3.93,236.2,139.4
Sea Dragon,Coastal Cliffs,Female,23.5,4.1,4.57,279.2,133.6
Forest Dragon,Coastal Cliffs,Male,23.7,5.6,4.37,303,155.8
Mountain Dragon,Ancient Forest,Female,23.4,5.5,4.15,212,140.7
Mountain Dragon,Ancient Forest,Female,24.6,5.8,4.06,185.8,142.3
Mountain Dragon,Ancient Forest,Male,28.1,5.8,4.21,233.4,139.8
Sea Dragon,Coastal Cliffs,Female,25,4.4,4.66,311.6,139.5
Mountain Dragon,Ancient Forest,Male,27.7,6,4.21,236.5,143.2
Forest Dragon,Northern Peaks,Male,22.3,6.2,4.18,298.5,156.9
Sea Dragon,Coastal Cliffs,Female,26,4.2,4.72,280.2,146.4
Forest Dragon,Coastal Cliffs,Female,18.6,5.9,4.07,240.3,149.1
Forest Dragon,Coastal Cliffs,Female,20.2,5.3,4.21,213.6,162.5
Forest Dragon,Northern Peaks,NA,21.5,5.6,3.81,239.7,156.1
Sea Dragon,Coastal Cliffs,Male,27.8,4.8,4.84,348.6,137.5
Sea Dragon,Coastal Cliffs,Male,28.7,4.3,4.69,345.6,123.7
Forest Dragon,Northern Peaks,Female,20.5,6.1,4.2,217.2,161
Forest Dragon,Coastal Cliffs,Male,22.4,6.4,3.92,252.7,150.4
Sea Dragon,Coastal Cliffs,Female,25.2,4.2,5.03,306.7,141.5
Forest Dragon,Ancient Forest,Male,20.2,6.2,4.17,243.8,157.7
Sea Dragon,Coastal Cliffs,Male,27.7,5.3,4.92,349,143.7
Forest Dragon,Coastal Cliffs,Female,21.2,5.3,4.49,238.6,162.5
Sea Dragon,Coastal Cliffs,Female,24.7,4.6,4.62,283.3,143.7
Mountain Dragon,Ancient Forest,Female,26,5.6,4.21,233.8,139.9
Sea Dragon,Coastal Cliffs,Male,30.7,4.6,5.02,368.9,129
Sea Dragon,Coastal Cliffs,Female,24.4,3.6,4.79,325.6,147.5
Sea Dragon,Coastal Cliffs,Female,25.4,4.5,4.62,271.1,138.3
Sea Dragon,Coastal Cliffs,Female,26.3,4.9,4.85,301.6,140.5
Forest Dragon,Northern Peaks,Male,20.3,6.5,4.1,238.8,164.2
Forest Dragon,Ancient Forest,Male,21.4,5.4,4.25,280.5,156
Sea Dragon,Coastal Cliffs,Female,25.3,4.8,4.51,304.7,141.8
Forest Dragon,Coastal Cliffs,Male,21.9,5.4,3.97,227.2,157.2
Sea Dragon,Coastal Cliffs,Female,25.7,4.6,4.29,297.3,130.5
Mountain Dragon,Ancient Forest,Female,25.9,6.2,4.22,260.5,137.3
Mountain Dragon,Ancient Forest,Female,25.4,5.5,4.18,238,144.6
Mountain Dragon,Ancient Forest,Female,27.8,5.3,4.28,219.5,148
Forest Dragon,Ancient Forest,Female,19.8,5.2,3.95,189.6,158.6
Sea Dragon,Coastal Cliffs,Female,24.4,4.2,4.57,289.5,132.2
Forest Dragon,Ancient Forest,Female,17,4.4,4.16,192.3,151.1
Sea Dragon,Coastal Cliffs,Male,31.9,5.2,5.05,386.1,136.8
Forest Dragon,Ancient Forest,Female,19.5,5.1,4.22,215.6,152.4
Forest Dragon,Ancient Forest,Male,22.1,5.4,4.14,270.8,162
Sea Dragon,Coastal Cliffs,Male,28.1,4.8,5.01,343.8,142.1
