dragon_type,region,sex,claw_length_cm,claw_thickness_cm,wingspan_m,weight_kg,flying_speed_kmh
Forest Dragon,Coastal Cliffs,Male,22.1,6.1,4.07,273.5,139.2
Mountain Dragon,Ancient Forest,Female,25.5,5.4,3.93,230.5,101.2
Forest Dragon,Northern Peaks,Female,17.2,5.3,4.04,205.2,144.8
Sea Dragon,Coastal Cliffs,Male,28.5,5,5.05,342.9,128.1
Mountain Dragon,Ancient Forest,Male,25.5,6.2,4.23,217.4,129.5
Forest Dragon,Northern Peaks,Female,21,5.7,4.2,211.3,166.5
Forest Dragon,Ancient Forest,Male,20.2,5.9,4.05,251.5,138
Sea Dragon,Coastal Cliffs,Female,26.4,4.4,4.34,287.5,91.7
Forest Dragon,Northern Peaks,Female,20.2,5.7,4.04,239.9,145.2
Forest Dragon,Northern Peaks,Male,24.4,5.5,4.33,299.1,154.9
Forest Dragon,Ancient Forest,Female,20.1,5.9,4.24,224.1,165.6
Forest Dragon,Coastal Cliffs,Male,23.9,6,4.35,254.7,168.8
Sea Dragon,Coastal Cliffs,Female,25.9,4.4,4.57,294.3,124.6
Mountain Dragon,Ancient Forest,Female,24.2,6,4.15,223.8,121.3
Sea Dragon,Coastal Cliffs,Female,25.4,4.1,4.6,279.7,113.5
Forest Dragon,Coastal Cliffs,Male,22.7,6.4,3.97,259.7,135.6
Forest Dragon,Ancient Forest,Female,20.3,5.6,4.09,215.7,146.9
Forest Dragon,Coastal Cliffs,Female,18.7,5.4,4.2,214.7,162.9
Sea Dragon,Coastal Cliffs,Female,24,4.2,4.8,307.4,117.2
Forest Dragon,Northern Peaks,Male,20.8,5.9,4.06,247.1,153.8
Sea Dragon,Coastal Cliffs,Male,23.8,4.8,4.65,335.1,102.2
Sea Dragon,Coastal Cliffs,Female,24.7,4.5,4.36,325.1,81.9
Sea Dragon,Coastal Cliffs,Male,26.5,4.8,5.01,368.9,131
Forest Dragon,Northern Peaks,Male,23.7,6.5,4.15,269.2,140.5
Mountain Dragon,Ancient Forest,Female,24.6,6.1,4.17,226.2,129.7
Forest Dragon,Coastal Cliffs,Female,20.8,5.5,3.96,206.2,148.8
Sea Dragon,Coastal Cliffs,Female,22.7,4.2,4.52,262.8,111
Mountain Dragon,Ancient Forest,Female,31.8,5.9,3.93,236.2,105.1
Sea Dragon,Coastal Cliffs,Female,23.5,4.1,4.57,279.2,110
Forest Dragon,Coastal Cliffs,Male,23.7,5.6,4.37,303,155.3
Mountain Dragon,Ancient Forest,Female,23.4,5.5,4.15,212,130.7
Mountain Dragon,Ancient Forest,Female,24.6,5.8,4.06,185.8,133.6
Mountain Dragon,Ancient Forest,Male,28.1,5.8,4.21,233.4,127.7
Sea Dragon,Coastal Cliffs,Female,25,4.4,4.66,311.6,114.3
Mountain Dragon,Ancient Forest,Male,27.7,6,4.21,236.5,130.2
Forest Dragon,Northern Peaks,Male,22.3,6.2,4.18,298.5,142.6
Sea Dragon,Coastal Cliffs,Female,26,4.2,4.72,280.2,133.9
Forest Dragon,Coastal Cliffs,Female,18.6,5.9,4.07,240.3,135.1
Forest Dragon,Coastal Cliffs,Female,20.2,5.3,4.21,213.6,163.2
Forest Dragon,Northern Peaks,NA,21.5,5.6,3.81,239.7,122.5
Sea Dragon,Coastal Cliffs,Male,27.8,4.8,4.84,348.6,116.4
Sea Dragon,Coastal Cliffs,Male,28.7,4.3,4.69,345.6,91.9
Forest Dragon,Northern Peaks,Female,20.5,6.1,4.2,217.2,160.4
Forest Dragon,Coastal Cliffs,Male,22.4,6.4,3.92,252.7,123.3
Sea Dragon,Coastal Cliffs,Female,25.2,4.2,5.03,306.7,145.7
Forest Dragon,Ancient Forest,Male,20.2,6.2,4.17,243.8,150.9
Sea Dragon,Coastal Cliffs,Male,27.7,5.3,4.92,349,128.5
Forest Dragon,Coastal Cliffs,Female,21.2,5.3,4.49,238.6,180.8
Sea Dragon,Coastal Cliffs,Female,24.7,4.6,4.62,283.3,122.8
Mountain Dragon,Ancient Forest,Female,26,5.6,4.21,233.8,127.7
Sea Dragon,Coastal Cliffs,Male,30.7,4.6,5.02,368.9,116.2
Sea Dragon,Coastal Cliffs,Female,24.4,3.6,4.79,325.6,128.5
Sea Dragon,Coastal Cliffs,Female,25.4,4.5,4.62,271.1,120.5
Sea Dragon,Coastal Cliffs,Female,26.3,4.9,4.85,301.6,132.3
Forest Dragon,Northern Peaks,Male,20.3,6.5,4.1,238.8,152.8
Forest Dragon,Ancient Forest,Male,21.4,5.4,4.25,280.5,149.7
Sea Dragon,Coastal Cliffs,Female,25.3,4.8,4.51,304.7,107
Forest Dragon,Coastal Cliffs,Male,21.9,5.4,3.97,227.2,137.6
Sea Dragon,Coastal Cliffs,Female,25.7,4.6,4.29,297.3,80.9
Mountain Dragon,Ancient Forest,Female,25.9,6.2,4.22,260.5,117.6
Mountain Dragon,Ancient Forest,Female,25.4,5.5,4.18,238,128.8
Mountain Dragon,Ancient Forest,Female,27.8,5.3,4.28,219.5,145.6
Forest Dragon,Ancient Forest,Female,19.8,5.2,3.95,189.6,143.2
Sea Dragon,Coastal Cliffs,Female,24.4,4.2,4.57,289.5,105.9
Forest Dragon,Ancient Forest,Female,17,4.4,4.16,192.3,151.2
Sea Dragon,Coastal Cliffs,Male,31.9,5.2,5.05,386.1,121.9
Forest Dragon,Ancient Forest,Female,19.5,5.1,4.22,215.6,153.6
Forest Dragon,Ancient Forest,Male,22.1,5.4,4.14,270.8,148.8
Sea Dragon,Coastal Cliffs,Male,28.1,4.8,5.01,343.8,135.1
Sea Dragon,Coastal Cliffs,Female,25.7,4.8,4.83,313.9,121.7
Sea Dragon,Coastal Cliffs,Female,22.7,4.7,4.47,313.3,89
Forest Dragon,Northern Peaks,Female,20.3,4.6,3.99,191.6,149
Mountain Dragon,Ancient Forest,Female,24.9,5.4,4.24,231.2,124.9
Sea Dragon,Coastal Cliffs,Female,24.7,4.6,4.62,272.3,126.5
Sea Dragon,Coastal Cliffs,Male,27.5,5,4.97,318.9,141.2
Sea Dragon,Coastal Cliffs,Female,25.5,3.7,4.59,292.3,100.6
Forest Dragon,Ancient Forest,Male,21.1,5.9,4.04,233.7,145.4
Forest Dragon,Ancient Forest,Male,21.9,6.2,4.15,224.3,161.5
Forest Dragon,Northern Peaks,Female,21.6,5.2,4.3,226.9,160.4
Sea Dragon,Coastal Cliffs,Female,23.1,4.4,4.53,251.5,118.3
