dragon_type,region,sex,claw_length_cm,claw_thickness_cm,wingspan_m,weight_kg,flying_speed_kmh
Forest Dragon,Coastal Cliffs,Male,22.1,6.1,4.07,273.5,147.9
Mountain Dragon,Ancient Forest,Female,25.5,5.4,3.93,230.5,113
Forest Dragon,Northern Peaks,Female,17.2,5.3,4.04,205.2,140.3
Sea Dragon,Coastal Cliffs,Male,28.5,5,4.8,342.9,108
Mountain Dragon,Ancient Forest,Male,25.5,6.2,4.23,217.4,122.5
Forest Dragon,Northern Peaks,Female,21,5.7,4.2,211.3,168.2
Forest Dragon,Ancient Forest,Male,20.2,5.9,4.05,251.5,139.9
Sea Dragon,Coastal Cliffs,Female,26.4,4.4,4.09,287.5,106.6
Forest Dragon,Northern Peaks,Female,20.2,5.7,4.04,239.9,154.3
Forest Dragon,Northern Peaks,Male,24.4,5.5,4.33,299.1,152.1
Forest Dragon,Ancient Forest,Female,20.1,5.9,4.24,224.1,164.2
Forest Dragon,Coastal Cliffs,Male,23.9,6,4.35,254.7,165.2
Sea Dragon,Coastal Cliffs,Female,25.9,4.4,4.32,294.3,151.4
Mountain Dragon,Ancient Forest,Female,24.2,6,4.15,223.8,120.3
Sea Dragon,Coastal Cliffs,Female,25.4,4.1,4.35,279.7,111.3
Forest Dragon,Coastal Cliffs,Male,22.7,6.4,3.97,259.7,150.6
Forest Dragon,Ancient Forest,Female,20.3,5.6,4.09,215.7,140.8
Forest Dragon,Coastal Cliffs,Female,18.7,5.4,4.2,214.7,160.7
Sea Dragon,Coastal Cliffs,Female,24,4.2,4.55,307.4,102.8
Forest Dragon,Northern Peaks,Male,20.8,5.9,4.06,247.1,174.5
Sea Dragon,Coastal Cliffs,Male,23.8,4.8,4.4,335.1,107.8
Sea Dragon,Coastal Cliffs,Female,24.7,4.5,4.11,325.1,101.4
Sea Dragon,Coastal Cliffs,Male,26.5,4.8,4.76,368.9,136.5
Forest Dragon,Northern Peaks,Male,23.7,6.5,4.15,269.2,136
Mountain Dragon,Ancient Forest,Female,24.6,6.1,4.17,226.2,138.9
Forest Dragon,Coastal Cliffs,Female,20.8,5.5,3.96,206.2,163.4
Sea Dragon,Coastal Cliffs,Female,22.7,4.2,4.27,262.8,108.9
Mountain Dragon,Ancient Forest,Female,31.8,5.9,3.93,236.2,126.3
