"design","session_id","shiny_token","ts","event","viz_tab","scatter_x","scatter_y","bar_var","dragon_species"
"dashboard_with_llm","c1dea8d8fa13475b3267e95fa70786a4","c1dea8d8fa13475b3267e95fa70786a4","2026-08-07 04:05:53.384","init","Scatter","flying_speed_kmh","wingspan_m","flying_speed_kmh","All Species"
"dashboard_with_llm","c1dea8d8fa13475b3267e95fa70786a4","c1dea8d8fa13475b3267e95fa70786a4","2026-08-07 04:06:59.421","dragon_species","Scatter","flying_speed_kmh","wingspan_m","flying_speed_kmh",""
"dashboard_with_llm","c1dea8d8fa13475b3267e95fa70786a4","c1dea8d8fa13475b3267e95fa70786a4","2026-08-07 04:07:00.449","dragon_species","Scatter","flying_speed_kmh","wingspan_m","flying_speed_kmh","Forest Dragon"
"dashboard_with_llm","c1dea8d8fa13475b3267e95fa70786a4","c1dea8d8fa13475b3267e95fa70786a4","2026-08-07 04:07:01.708","dragon_species","Scatter","flying_speed_kmh","wingspan_m","flying_speed_kmh","Forest Dragon, Sea Dragon"
"dashboard_with_llm","f74a111f7abb3f58577af42ee8296a9e","f74a111f7abb3f58577af42ee8296a9e","2026-08-07 19:04:47.679","init","Scatter","flying_speed_kmh","wingspan_m","flying_speed_kmh","All Species"
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:49:46.109","init","Scatter","flying_speed_kmh","wingspan_m","flying_speed_kmh","All Species"
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:50:09.569","scatter_x","Scatter","wingspan_m","wingspan_m","flying_speed_kmh","All Species"
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:50:10.868","scatter_y","Scatter","wingspan_m","flying_speed_kmh","flying_speed_kmh","All Species"
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:50:13.528","scatter_y","Scatter","wingspan_m","wingspan_m","flying_speed_kmh","All Species"
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:50:30.817","dragon_species","Scatter","wingspan_m","wingspan_m","flying_speed_kmh",""
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:50:32.147","dragon_species","Scatter","wingspan_m","wingspan_m","flying_speed_kmh","Forest Dragon"
"dashboard_with_llm","6c252eae366da6af20d8ae98c8c4988f","6c252eae366da6af20d8ae98c8c4988f","2026-08-07 19:50:33.109","dragon_species","Scatter","wingspan_m","wingspan_m","flying_speed_kmh","Forest Dragon, Mountain Dragon"
