dragon_type,region,sex,claw_length_cm,claw_thickness_cm,wingspan_m,weight_kg,flying_speed_kmh
Forest Dragon,Coastal Cliffs,Male,22.1,6.1,4.07,273.5,152.5
Mountain Dragon,Ancient Forest,Female,25.5,5.4,3.93,230.5,107.7
Forest Dragon,Northern Peaks,Female,17.2,5.3,4.04,205.2,149.2
Sea Dragon,Coastal Cliffs,Male,28.5,5,4.7,342.9,107.6
Mountain Dragon,Ancient Forest,Male,25.5,6.2,4.23,217.4,125.6
Forest Dragon,Northern Peaks,Female,21,5.7,4.2,211.3,176.6
Forest Dragon,Ancient Forest,Male,20.2,5.9,4.05,251.5,146.5
Sea Dragon,Coastal Cliffs,Female,26.4,4.4,3.99,287.5,91.5
Forest Dragon,Northern Peaks,Female,20.2,5.7,4.04,239.9,158.9
Forest Dragon,Northern Peaks,Male,24.4,5.5,4.33,299.1,162
Forest Dragon,Ancient Forest,Female,20.1,5.9,4.24,224.1,173.7
Forest Dragon,Coastal Cliffs,Male,23.9,6,4.35,254.7,176
Sea Dragon,Coastal Cliffs,Female,25.9,4.4,4.22,294.3,134.8
Mountain Dragon,Ancient Forest,Female,24.2,6,4.15,223.8,120.8
Sea Dragon,Coastal Cliffs,Female,25.4,4.1,4.25,279.7,103.6
Forest Dragon,Coastal Cliffs,Male,22.7,6.4,3.97,259.7,152.7
Forest Dragon,Ancient Forest,Female,20.3,5.6,4.09,215.7,150.5
Forest Dragon,Coastal Cliffs,Female,18.7,5.4,4.2,214.7,170.2
Sea Dragon,Coastal Cliffs,Female,24,4.2,4.45,307.4,99.6
Forest Dragon,Northern Peaks,Male,20.8,5.9,4.06,247.1,175.9
Sea Dragon,Coastal Cliffs,Male,23.8,4.8,4.3,335.1,96.9
Sea Dragon,Coastal Cliffs,Female,24.7,4.5,4.01,325.1,84.2
Sea Dragon,Coastal Cliffs,Male,26.5,4.8,4.66,368.9,127.7
Forest Dragon,Northern Peaks,Male,23.7,6.5,4.15,269.2,145.1
Mountain Dragon,Ancient Forest,Female,24.6,6.1,4.17,226.2,136.5
Forest Dragon,Coastal Cliffs,Female,20.8,5.5,3.96,206.2,166.2
Sea Dragon,Coastal Cliffs,Female,22.7,4.2,4.17,262.8,101
Mountain Dragon,Ancient Forest,Female,31.8,5.9,3.93,236.2,118.2
Sea Dragon,Coastal Cliffs,Female,23.5,4.1,4.22,279.2,99.7
Forest Dragon,Coastal Cliffs,Male,23.7,5.6,4.37,303,159.3
Mountain Dragon,Ancient Forest,Female,23.4,5.5,4.15,212,134.4
Mountain Dragon,Ancient Forest,Female,24.6,5.8,4.06,185.8,138.3
Mountain Dragon,Ancient Forest,Male,28.1,5.8,4.21,233.4,131.3
Sea Dragon,Coastal Cliffs,Female,25,4.4,4.31,311.6,110.8
Mountain Dragon,Ancient Forest,Male,27.7,6,4.21,236.5,137.6
Forest Dragon,Northern Peaks,Male,22.3,6.2,4.18,298.5,153.6
Sea Dragon,Coastal Cliffs,Female,26,4.2,4.37,280.2,131.4
Forest Dragon,Coastal Cliffs,Female,18.6,5.9,4.07,240.3,135.6
Forest Dragon,Coastal Cliffs,Female,20.2,5.3,4.21,213.6,169.4
Forest Dragon,Northern Peaks,NA,21.5,5.6,3.81,239.7,138.8
Sea Dragon,Coastal Cliffs,Male,27.8,4.8,4.49,348.6,109.4
Sea Dragon,Coastal Cliffs,Male,28.7,4.3,4.34,345.6,76
Forest Dragon,Northern Peaks,Female,20.5,6.1,4.2,217.2,165.9
Forest Dragon,Coastal Cliffs,Male,22.4,6.4,3.92,252.7,131.6
Sea Dragon,Coastal Cliffs,Female,25.2,4.2,4.68,306.7,131.1
Forest Dragon,Ancient Forest,Male,20.2,6.2,4.17,243.8,157
Sea Dragon,Coastal Cliffs,Male,27.7,5.3,4.57,349,125.1
Forest Dragon,Coastal Cliffs,Female,21.2,5.3,4.49,238.6,180.3
Sea Dragon,Coastal Cliffs,Female,24.7,4.6,4.27,283.3,121.4
Mountain Dragon,Ancient Forest,Female,26,5.6,4.21,233.8,131.4
Sea Dragon,Coastal Cliffs,Male,30.7,4.6,4.67,368.9,97.2
Sea Dragon,Coastal Cliffs,Female,24.4,3.6,4.44,325.6,130.3
Sea Dragon,Coastal Cliffs,Female,25.4,4.5,4.27,271.1,112.2
Sea Dragon,Coastal Cliffs,Female,26.3,4.9,4.5,301.6,122.2
Forest Dragon,Northern Peaks,Male,20.3,6.5,4.1,238.8,167.2
Forest Dragon,Ancient Forest,Male,21.4,5.4,4.25,280.5,155.4
Sea Dragon,Coastal Cliffs,Female,25.3,4.8,4.16,304.7,110.1
Forest Dragon,Coastal Cliffs,Male,21.9,5.4,3.97,227.2,148.2
Sea Dragon,Coastal Cliffs,Female,25.7,4.6,3.94,297.3,79.2
Mountain Dragon,Ancient Forest,Female,25.9,6.2,4.22,260.5,122
Mountain Dragon,Ancient Forest,Female,25.4,5.5,4.18,238,138.8
Mountain Dragon,Ancient Forest,Female,27.8,5.3,4.28,219.5,153.2
Forest Dragon,Ancient Forest,Female,19.8,5.2,3.95,189.6,151.7
Sea Dragon,Coastal Cliffs,Female,24.4,4.2,4.22,289.5,95.5
Forest Dragon,Ancient Forest,Female,17,4.4,4.16,192.3,145.3
Sea Dragon,Coastal Cliffs,Male,31.9,5.2,4.7,386.1,111.8
Forest Dragon,Ancient Forest,Female,19.5,5.1,4.22,215.6,149.6
Forest Dragon,Ancient Forest,Male,22.1,5.4,4.14,270.8,163.2
Sea Dragon,Coastal Cliffs,Male,28.1,4.8,4.66,343.8,126.3
Sea Dragon,Coastal Cliffs,Female,25.7,4.8,4.48,313.9,107.8
Sea Dragon,Coastal Cliffs,Female,22.7,4.7,4.12,313.3,81.8
Forest Dragon,Northern Peaks,Female,20.3,4.6,3.99,191.6,159.5
Mountain Dragon,Ancient Forest,Female,24.9,5.4,4.24,231.2,121.4
Sea Dragon,Coastal Cliffs,Female,24.7,4.6,4.27,272.3,124.6
Sea Dragon,Coastal Cliffs,Male,27.5,5,4.62,318.9,133.4
Sea Dragon,Coastal Cliffs,Female,25.5,3.7,4.24,292.3,83.8
Forest Dragon,Ancient Forest,Male,21.1,5.9,4.04,233.7,157.8
Forest Dragon,Ancient Forest,Male,21.9,6.2,4.15,224.3,175.4
Forest Dragon,Northern Peaks,Female,21.6,5.2,4.3,226.9,157.4
Sea Dragon,Coastal Cliffs,Female,23.1,4.4,4.18,251.5,110
Mountain Dragon,Ancient Forest,Male,27.4,6.4,4.38,244.3,136.9
Sea Dragon,Coastal Cliffs,Female,25.4,4.6,4.27,295.3,86.6
Sea Dragon,Coastal Cliffs,Male,28.4,4.5,4.46,334.8,104
Forest Dragon,Northern Peaks,Male,22.5,6.2,4.24,256.3,163.2
Forest Dragon,Northern Peaks,Male,23.9,6.2,4.12,227.7,149.1
Forest Dragon,Coastal Cliffs,Female,20,5.5,4.08,179.4,163.5
Forest Dragon,Ancient Forest,Female,21.8,6.5,4.13,229.7,148.5
Forest Dragon,Coastal Cliffs,Male,22.8,5.5,4.14,254.5,145.5
Forest Dragon,Ancient Forest,Male,22.1,5.7,4.07,284.8,131.7
Forest Dragon,Northern Peaks,Female,20.9,5.5,4.02,187.4,134.4
Mountain Dragon,Ancient Forest,Male,29.6,6.4,4.5,251.5,150.3
Mountain Dragon,Ancient Forest,Male,28.1,5.9,4.3,245.6,130.2
Mountain Dragon,Ancient Forest,Female,22.6,5.2,4.19,213.4,159.3
Mountain Dragon,Ancient Forest,Female,23.8,5.2,4.62,213.2,182.6
Mountain Dragon,Ancient Forest,Female,26.4,5.4,4.35,249.3,120.8
Mountain Dragon,Ancient Forest,Male,26.4,5.6,4.36,231.6,139.3
