id,design,session_id,shiny_token,ts,event,viz_tab,scatter_x,scatter_y,bar_var,coffee_types
1,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:32:19.497973+00,init,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,All Varietals
2,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:32:36.485928+00,coffee_types,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,"All Varietals, Catuai"
3,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:32:37.284841+00,coffee_types,Scatter,farm_size_ha,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha"
4,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:32:38.695059+00,scatter_x,Scatter,altitude_m,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha"
5,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:32:40.193268+00,scatter_y,Scatter,altitude_m,price_per_kg_usd,price_per_kg_usd,"All Varietals, Catuai, Gesha"
6,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:32:42.909524+00,scatter_y,Scatter,altitude_m,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha"
7,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:37:12.511887+00,scatter_x,Scatter,price_per_kg_usd,tree_age_years,price_per_kg_usd,"All Varietals, Catuai, Gesha"
8,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:37:15.228734+00,scatter_y,Scatter,price_per_kg_usd,farm_size_ha,price_per_kg_usd,"All Varietals, Catuai, Gesha"
9,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:37:16.261249+00,viz_tab,Bar,price_per_kg_usd,farm_size_ha,price_per_kg_usd,"All Varietals, Catuai, Gesha"
10,coffee_dashboard_with_llm,d8c0242ae6fe380933f76e451cffdf06,d8c0242ae6fe380933f76e451cffdf06,2026-09-08 04:37:17.730813+00,bar_var,Bar,price_per_kg_usd,farm_size_ha,farm_size_ha,"All Varietals, Catuai, Gesha"
