"session_id","time_start","browser","ip_address","time_end","penguins","silly_word","time_q_penguins","time_q_silly_word","time_p_welcome","time_p_page2","time_p_end","current_page","silly_word1","time_q_silly_word1","time_p_page0","penguins1","time_q_penguins1","time_p_welcome1","penguins2","penguins4","penguins5","penguins6","time_q_penguins2","time_q_penguins4","time_q_penguins5","time_q_penguins6","penguins3","scatter_color","time_q_penguins3","time_q_scatter_color","education","time_q_education","q0_1","q0_2","q0_3","q0_4","llm_preference","llm_preference_CC","llm_preference_CE","llm_preference_RI","llm_preference_TP","llm_preference_CL","llm_preference_PO","llm_preference_MA","unique_id","q1","q1_reason","q2","q2_reason","q3","q3_reason","q4","q4_reason","q5","q5_reason","q6","q6_reason","time_q_q0_1","time_q_q0_2","time_q_q0_3","time_q_q0_4","time_q_llm_preference","time_q_llm_preference_CC","time_q_llm_preference_CE","time_q_llm_preference_RI","time_q_llm_preference_TP","time_q_llm_preference_CL","time_q_llm_preference_PO","time_q_llm_preference_MA","time_q_unique_id","time_q_q1","time_q_q1_reason","time_q_q2","time_q_q2_reason","time_q_q3","time_q_q3_reason","time_q_q4","time_q_q4_reason","time_q_q5","time_q_q5_reason","time_q_q6","time_q_q6_reason"
"51463f0a391a4dd7af98a5f715b3c394","2025-09-06 04:58:46 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 04:58:51 UTC","chinstrap","test","2025-09-06 04:54:53 UTC","2025-09-06 04:57:56 UTC","2025-09-06 04:58:46 UTC","2025-09-06 04:54:54 UTC","2025-09-06 04:57:56 UTC","end",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2fb944e1bed600d71fd0d24fdcaa46dd","2025-09-06 05:00:31 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:00:31 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7a1551a985faea70618b0710433f41fc","2025-09-06 05:01:31 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:01:31 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45de487af988be59cc1045dda0cd6a8a","2025-09-06 05:03:40 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:03:40 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"78aa75387e4780aceb2e0f7e10fac992","2025-09-06 05:08:53 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:09:04 UTC","","","","","","","","",,,"2025-09-06 05:08:53 UTC",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c95a8ec7391581b6542e865278893636","2025-09-06 05:11:39 UTC","Chrome v139, Windows","127.0.0.1","","","","","","","","","",,,"2025-09-06 05:11:39 UTC",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09408a6d7d1c5d3253eddfaff17272f5","2025-09-06 05:19:19 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:19:19 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2207841266436a01fe7db2ae5e7bd76d","2025-09-06 05:23:20 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:23:29 UTC","adelie","test","2025-09-06 05:23:23 UTC","2025-09-06 05:23:27 UTC","2025-09-06 05:23:20 UTC","2025-09-06 05:23:24 UTC","2025-09-06 05:23:27 UTC","end",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5a4a15c6d1563c64de12b89e55352010","2025-09-06 05:28:18 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:28:29 UTC","chinstrap","","2025-09-06 05:28:25 UTC","","2025-09-06 05:28:18 UTC","2025-09-06 05:28:25 UTC","2025-09-06 05:28:27 UTC","end",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3c6b95a602e4da3583af222afe74b3ec","2025-09-06 05:32:22 UTC","Chrome v139, Windows","127.0.0.1","","","","","","2025-09-06 05:32:22 UTC","","","",,,"",,,,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
