varietal,growing_region,certification,farm_size_ha,tree_age_years,altitude_m,yield_kg_per_ha,price_per_kg_usd
Bourbon,North,Conventional,9.2,13.1,904,1238,6.45
Catuai,South,Conventional,13.2,15.7,1570,1257,11.18
Caturra,North,Conventional,12.2,16.3,1170,1396,8.16
Caturra,Central,Conventional,10.2,15.3,1276,1655,5.52
Catuai,Central,Organic,13.8,14.2,1451,1049,12.67
Typica,South,Conventional,6.8,11.9,1385,1604,6.69
Typica,Central,Conventional,16.6,16.6,1530,1148,10.25
Typica,North,Organic,6.9,11,1352,1435,6.85
Bourbon,North,Conventional,9.3,9.7,1072,1557,3.88
Typica,Central,Organic,14.7,15.2,1425,1217,10.37
Catuai,North,Conventional,12.5,14.5,1390,1196,12.49
Typica,North,Conventional,8.7,8.1,1396,1455,6.95
Caturra,South,Organic,13,13.5,1223,1416,8.36
Catuai,Central,Conventional,13.6,14.4,1639,1306,10.38
Bourbon,North,Conventional,11.9,11.8,969,1259,7.14
Bourbon,Central,Conventional,9.1,12.8,1053,1624,4.12
Caturra,South,Organic,4.8,8.8,1264,1869,3.31
Catuai,South,Conventional,13.1,15.2,1518,1304,11.19
Bourbon,South,Organic,11.9,13.8,1082,1352,5.45
Catuai,Central,Conventional,9.6,13.8,1448,1279,10.68
Caturra,South,Conventional,21.4,23.2,1244,901,13.05
Gesha,South,Organic,10.6,11.3,1700,1260,11
Catuai,South,Conventional,12.1,12.6,1510,1272,10.85
Catuai,South,Conventional,14.9,16.9,1487,1176,12.5
Caturra,Central,Organic,13.9,15.9,1314,1483,6.77
Gesha,South,Conventional,14.1,16,1542,910,14.99
Typica,North,Organic,17.2,16.6,1431,1174,12.13
Gesha,South,Conventional,13.5,17.2,1575,855,14.81
Typica,South,Organic,15.4,16,1312,1125,11.71
Caturra,North,Conventional,16,19.3,1327,1189,9.02
Typica,South,Conventional,15.7,18.1,1396,1312,11.39
Bourbon,South,Conventional,10.9,12.8,1049,1541,5.25
Caturra,Central,Organic,13.2,17,1263,1483,7.94
Typica,North,Conventional,13.5,15.7,1527,1455,8.69
Gesha,South,Organic,12.2,14.6,1419,886,15.56
Bourbon,North,Conventional,19,17.7,1145,1244,8.35
Typica,Central,Organic,9.5,13.8,1451,1580,7.09
Bourbon,North,Organic,11.5,13.2,984,1386,5.81
Typica,Central,Conventional,15.7,18,1385,1212,11.38
Bourbon,North,Conventional,14.9,14.6,1117,1213,6.62
Typica,North,Organic,10.7,15.1,1361,1444,9.11
Caturra,North,Conventional,17.7,19.3,1276,1372,9.78
Typica,South,Organic,11.1,15.9,1249,1257,11.2
Bourbon,Central,Organic,15.1,16,1014,1111,8.34
Bourbon,South,Organic,9.1,10.6,1060,1477,4.07
Bourbon,South,Conventional,13.7,16.2,1063,1364,6.65
Gesha,South,Organic,15.5,15.7,1599,911,14.95
Caturra,North,Organic,13.3,16.8,1246,1316,8.27
Catuai,South,Organic,14.9,16.8,1389,963,14.24
Typica,Central,Organic,14.1,15.3,1226,951,12.64
Gesha,Central,Organic,13.1,14.5,1599,976,13.79
Catuai,North,Organic,12.2,16.8,1445,1128,12.13
Catuai,Central,Conventional,13.5,16.4,1426,1082,13.12
Catuai,Central,Organic,16.3,17.4,1436,1023,13.86
Catuai,North,Conventional,16.6,17.6,1467,979,13.85
Gesha,South,Organic,15.9,18.2,1559,921,16.04
Gesha,Central,Organic,16.7,18.4,1672,940,15.13
Bourbon,South,Conventional,9.7,12.6,1152,1559,3.47
Gesha,Central,Organic,11.2,13.9,1603,1052,12.52
Caturra,North,Conventional,13.3,13.9,1225,1329,8.13
Gesha,South,Conventional,12.6,16,1472,905,15.12
Gesha,South,Conventional,13.6,16.2,1662,1017,13.42
Typica,South,Conventional,14.9,16.7,1254,1021,12.7
Gesha,South,Organic,17.7,19.1,1610,750,15.54
Bourbon,Central,Conventional,17.6,18.8,1134,1106,7.77
Catuai,South,Conventional,21.4,20.9,1579,797,15.73
Typica,North,Organic,8.6,15.1,1289,1353,8.86
Catuai,South,Organic,15.1,19.1,1439,999,13.57
Gesha,Central,Organic,11.4,12.9,1706,1227,12.09
Caturra,Central,Conventional,13.2,18.6,1188,1280,9.01
Typica,South,Organic,11.1,14.5,1227,1198,11.02
Bourbon,North,Conventional,11.3,10.1,1040,1379,6
Catuai,Central,Organic,15.9,17.3,1578,1157,12.51
Bourbon,North,Organic,13.4,16.5,1103,1346,5.83
Bourbon,South,Organic,13,12.8,1009,1288,6.56
Catuai,South,Organic,7.1,8.7,1439,1454,9.54
Gesha,Central,Organic,8.7,12,1602,1167,11.39
Gesha,North,Conventional,18.5,21.3,1573,836,16.64
Gesha,South,Organic,12.6,13.4,1569,1125,13.85
Catuai,North,Organic,10.3,12.8,1378,1149,11.83
Gesha,North,Organic,8.9,10.9,1706,1301,10.18
Caturra,South,Organic,15.3,18.3,1138,1222,10.31
Bourbon,North,Conventional,11.6,12.6,1164,1602,4.18
Caturra,Central,Conventional,16.8,18.7,1222,1111,10.82
Catuai,South,Organic,20.1,21.6,1496,832,15.25
Gesha,Central,Organic,12.2,13.3,1531,956,13.67
Bourbon,North,Organic,12.3,16.1,945,1258,6.81
Typica,North,Conventional,15.9,16.7,1369,1074,11.58
Typica,North,Organic,11.1,15.3,1366,1377,9.36
Gesha,Central,Organic,18.1,18.9,1597,698,16.95
Typica,Central,Conventional,19.2,19.9,1405,947,12.79
Caturra,South,Conventional,6.6,10.9,1276,1730,3.99
Typica,South,Conventional,14.6,17.3,1271,1118,11.99
Typica,North,Organic,17,17.2,1148,705,15.14
Bourbon,South,Conventional,15.4,17.1,1007,1271,7.78
Bourbon,Central,Conventional,11.8,12.7,946,1345,6.87
Bourbon,North,Conventional,15.3,14.5,1059,1309,7.5
Typica,Central,Conventional,12.9,14,1327,1294,10.17
Caturra,North,Organic,12.5,14.2,1293,1436,7.05
Gesha,Central,Conventional,13.9,16.9,1720,1036,13
Catuai,South,Organic,15.5,15.6,1608,1306,11.47
Bourbon,Central,Organic,17.4,16.9,1028,1054,8.75
Caturra,South,Organic,6.3,9.2,1340,1754,3
Bourbon,Central,Organic,12.4,14,929,1283,7.36
Caturra,South,Organic,15.1,18.2,1192,1255,9.67
Gesha,North,Conventional,10.2,10,1620,1077,11.92
Gesha,South,Organic,8.1,12.8,1659,1373,9.87
Typica,Central,Conventional,13.9,15.5,1317,1214,11.36
Catuai,Central,Organic,14.1,19,1447,1261,13.03
Typica,South,Conventional,4.6,10.3,1277,1694,6.61
Catuai,South,Conventional,14.3,16.1,1495,1136,12.92
Catuai,North,Organic,8.3,12.6,1528,1343,9.05
Catuai,North,Conventional,12.8,17,1730,1374,8.96
Catuai,North,Organic,12,15,1511,1189,11.96
Gesha,Central,Organic,15.6,18.4,1690,1017,14.25
Gesha,Central,Conventional,12.1,14.5,1600,933,13.24
Typica,South,Conventional,13.6,16,1310,1219,11.15
Bourbon,South,Conventional,14.2,14.5,1072,1272,6.67
Gesha,North,Organic,14.4,14.7,1518,918,15.09
Gesha,Central,Organic,16.7,16.9,1696,1023,14.46
Caturra,South,Conventional,10.9,14.4,1199,1361,7.23
Bourbon,Central,Organic,11.9,15.1,1087,1639,4.86
Catuai,South,Conventional,11.3,14,1568,1465,9.08
Gesha,South,Conventional,11.4,12.9,1708,1125,11.79
Caturra,Central,Organic,14.6,17.8,1297,1236,8.23
Caturra,Central,Organic,13,14.7,1227,1346,8.2
Caturra,South,Organic,13.3,13.8,1289,1450,7.64
Caturra,South,Organic,15.1,16.3,1199,1297,8.89
Gesha,North,Organic,13.9,18.2,1602,962,14.18
Catuai,South,Organic,14.2,17.1,1477,1106,11.83
