"design","session_id","shiny_token","ts","event","viz_tab","scatter_x","scatter_y","bar_var","dragon_species"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:08:31.594","init","Scatter","farm_size_ha","tree_age_years","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:08:44.962","scatter_x","Scatter","altitude_m","tree_age_years","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:08:46.440","scatter_y","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:01.163","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals, Bourbon"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:02.603","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals, Bourbon, Caturra"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:04.048","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals, Bourbon, Caturra, Typica"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:05.961","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","Bourbon, Caturra, Typica"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:10.163","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","Caturra, Typica"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:12.426","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","Typica"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:22.285","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","Caturra, Typica"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:23.607","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","Bourbon, Caturra, Typica"
"coffee_dashboard_with_llm","318840fba6642a1bba78f676e04e57c2","318840fba6642a1bba78f676e04e57c2","2026-09-01 06:09:38.504","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals, Bourbon, Caturra, Typica"
"coffee_dashboard_with_llm","c179f7a6d5c37a22b823cdd902910abe","c179f7a6d5c37a22b823cdd902910abe","2026-09-01 06:16:43.632","init","Scatter","farm_size_ha","tree_age_years","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","c179f7a6d5c37a22b823cdd902910abe","c179f7a6d5c37a22b823cdd902910abe","2026-09-01 06:16:50.822","scatter_x","Scatter","altitude_m","tree_age_years","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","c179f7a6d5c37a22b823cdd902910abe","c179f7a6d5c37a22b823cdd902910abe","2026-09-01 06:16:52.222","scatter_y","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","6074c8f7f9abb0a787da70cff472b62f","6074c8f7f9abb0a787da70cff472b62f","2026-09-01 14:50:56.535","init","Scatter","farm_size_ha","tree_age_years","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","6074c8f7f9abb0a787da70cff472b62f","6074c8f7f9abb0a787da70cff472b62f","2026-09-01 14:51:07.978","scatter_x","Scatter","altitude_m","tree_age_years","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","6074c8f7f9abb0a787da70cff472b62f","6074c8f7f9abb0a787da70cff472b62f","2026-09-01 14:51:09.184","scatter_y","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd","All Varietals"
"coffee_dashboard_with_llm","6074c8f7f9abb0a787da70cff472b62f","6074c8f7f9abb0a787da70cff472b62f","2026-09-01 14:51:54.086","dragon_species","Scatter","altitude_m","price_per_kg_usd","price_per_kg_usd",""
